年份,地区,地区_归一化,文本总词频,环境规制强度_Z1,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,人均地区生产总值（元）,地区生产总值（万元）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）
2020,汕头市,汕头,7167,1.5348123343100322,110,29,13,14,54,49661.0,27310000.0,47.75,41.94608,81.68238,123.62846,123.62846,1315.0,44110.61
2021,汕头市,汕头,7394,1.4876927238301323,110,16,20,22,52,53106.0,29300000.0,47.51,39.19571,88.29947,127.49518,127.49518,1418.0,53628.0
2022,汕头市,汕头,7535,1.486396814863968,112,25,25,19,43,54504.0,30170000.0,47.53,31.04401,92.64606,123.69008,123.6901,1332.0,14801.0
2023,汕头市,汕头,6425,1.5719844357976651,101,16,23,19,43,56910.0,31580000.0,47.27,0.0,127.23006,127.23006,127.23006,2033.0,5232.0
2013,江门市,江门,5638,1.5785739623980135,89,17,14,20,38,50895.0,20001764.0,41.41,40.73,,40.73,40.73,173.0,6221.0
2014,江门市,江门,5802,1.7752499138228195,103,22,11,23,47,46237.0,20827636.0,42.88,43.16,,43.16,43.16,388.0,3633.0
2015,江门市,江门,3617,1.465302737074924,53,12,5,10,26,49608.0,22400243.0,43.79,45.66,,45.66,45.67,190.0,
2016,江门市,江门,5212,1.2279355333844972,64,9,14,13,28,53374.0,24187806.0,44.61,51.48,,51.48,51.48,221.0,
2017,江门市,江门,6386,1.5815847165674912,101,10,6,27,58,59089.0,26902500.0,,56.58,,56.58,56.58,234.0,4930.0
2018,江门市,江门,5823,1.7001545595054095,99,12,7,35,45,63328.0,29004073.0,44.5,59.46636,0.0,59.46636,59.46641,273.0,76.27
2019,江门市,江门,6062,1.534147146156384,93,17,6,25,45,68194.0,31470000.0,48.93,66.70528,0.0,66.70528,66.70528,561.0,0.0
2020,江门市,江门,6583,1.1241075497493545,74,9,4,15,46,66984.0,32010000.0,49.77,69.46985,0.0,70.44505,70.44505,838.0,8365.0
2021,江门市,江门,8420,0.8076009501187649,68,9,8,14,37,74722.0,36010000.0,46.26,72.0169,0.0,77.30854,77.30854,892.0,0.0
2022,江门市,江门,7041,1.0367845476494817,73,9,16,14,34,78146.0,37730000.0,45.72,71.54809,0.0,77.48979,77.48979,990.0,0.0
2023,江门市,江门,7539,1.047884334792413,79,12,24,15,28,83409.0,40220000.0,45.25,70.26556,2.89738,79.73419,79.73419,1023.0,73800.0
2014,池州市,池州,4626,1.1673151750972763,54,4,4,22,24,36267.0,5171690.0,39.6,13.83,,13.83,13.83,87.0,850.0
2015,池州市,池州,5064,1.6587677725118484,84,5,11,30,38,38014.0,5447404.0,40.91,14.06,,14.06,14.06,95.0,3200.0
2016,池州市,池州,6044,1.886168100595632,114,11,15,49,39,40919.0,5890196.0,44.15,14.57,,14.57,14.57,97.0,2758.0
2017,池州市,池州,5513,1.6687828768365682,92,12,20,24,36,43178.0,6243500.0,,13.42,,13.42,13.42,97.0,4722.0
2019,池州市,池州,4802,1.749271137026239,84,8,12,19,45,56217.0,8320000.0,45.73,9.6788,1.1482,11.922,11.922,97.0,6561.0
2020,池州市,池州,5543,1.587587948764207,88,10,11,20,47,64843.0,8690000.0,45.8,0.6531,9.0322,10.4458,10.4458,97.0,1380.0
2021,池州市,池州,7263,1.5282940933498554,111,13,25,31,42,75191.0,10040000.0,44.62,0.0,10.2799,11.1525,11.1525,97.0,1300.0
2022,池州市,池州,6680,2.604790419161677,174,13,74,46,41,81124.0,10790000.0,44.29,0.0,10.5049,11.3005,11.3006,103.0,146.0
2023,池州市,池州,5984,2.038770053475936,122,8,44,36,34,83906.0,11120000.0,47.29,0.0,11.2343,12.6132,12.6132,103.0,27467.0
2013,沈阳市,沈阳,3784,1.4006342494714588,53,8,11,20,14,98467.0,71585745.0,43.84,247.95,,247.95,247.95,1880.0,4425.0
2014,沈阳市,沈阳,3677,1.1150394343214578,41,5,6,13,17,85816.0,70987051.0,45.53,256.69,,256.69,256.69,1880.0,4737.0
2015,沈阳市,沈阳,3966,1.4120020171457388,56,7,7,17,25,87734.0,72723051.0,47.53,272.45,,272.45,272.46,2012.0,38189.0
2016,沈阳市,沈阳,5662,1.6778523489932886,95,12,23,27,33,66893.0,55464498.0,56.41,262.89,,262.9,263.03,1931.0,30771.0
2017,沈阳市,沈阳,6120,1.2091503267973858,74,4,5,29,36,69754.0,57847000.0,,228.98,,228.98,228.98,2542.0,11422.0
2018,沈阳市,沈阳,6928,1.4145496535796769,98,8,15,24,51,75766.0,62923981.0,58.1,244.2732,0.0,244.2732,244.27326,4876.0,6913.96
2019,沈阳市,沈阳,7113,1.2231126107127794,87,8,10,25,44,77777.0,64700000.0,61.94,237.2537,32.9044,270.1581,270.1581,5098.0,61700.28
2020,沈阳市,沈阳,6371,0.9731596295714958,62,10,8,9,35,75570.0,65720000.0,62.51,1.8395,245.1473,262.2092,262.20919,4504.0,32298.0
2021,沈阳市,沈阳,6841,1.1840374214296157,81,11,13,24,33,79706.0,72490000.0,60.05,0.0,252.13046,274.03366,274.03366,4862.0,9265.0
2022,沈阳市,沈阳,5033,1.4901649115835487,75,6,21,19,29,84268.0,76960000.0,58.15,0.0,240.1108,259.1295,259.1296,5387.0,103010.0
2023,沈阳市,沈阳,4971,1.2271172802253068,61,7,20,17,17,88519.0,81220000.0,59.52,0.0,252.8675,278.66073,278.66073,5680.0,2090.0
2013,沧州市,沧州,5214,0.9397775220560032,49,5,8,16,20,39960.0,30129850.0,37.34,,,18.56,19.28,147.0,750.0
2014,沧州市,沧州,4669,1.199400299850075,56,9,14,12,21,42676.0,31333822.0,37.89,,19.63,19.63,20.42,172.0,1216.0
2015,沧州市,沧州,4864,1.274671052631579,62,3,18,22,19,44819.0,33206328.0,40.8,,24.0,24.0,24.0,276.0,40529.0
2016,沧州市,沧州,5714,1.0500525026251313,60,10,10,20,20,47425.0,35446800.0,41.7,,26.84,26.84,26.84,260.0,1145.0
2017,沧州市,沧州,5085,1.789577187807276,91,19,13,32,27,48384.0,36434034.0,,,22.78,22.78,22.78,335.0,1725.0
2018,沧州市,沧州,5961,1.3588324106693508,81,8,11,34,28,48562.0,36764121.0,49.52,0.0,24.37401,24.37401,24.37401,339.0,2224.44
2019,沧州市,沧州,6236,1.2026940346375885,75,6,13,28,28,47663.0,35880000.0,51.98,0.0,28.68425,28.68425,28.68425,491.0,6576.98
2020,沧州市,沧州,6099,1.3608788325955077,83,6,15,29,33,50713.0,37000000.0,52.73,0.0,30.1228,30.1228,30.1228,492.0,9165.0
2021,沧州市,沧州,6646,1.173638278663858,78,6,5,34,33,57009.0,41630000.0,50.49,0.0,33.85327,33.85327,33.85327,492.0,12076.0
2022,沧州市,沧州,5745,1.2532637075718016,72,12,12,22,26,60035.0,43880000.0,50.07,0.0,32.76,32.76,32.76,492.0,10332.0
2023,沧州市,沧州,5701,1.455884932467988,83,12,23,22,26,60909.0,44400000.0,53.62,0.0,34.2965,34.2965,34.2965,492.0,0.0
2013,泰州市,泰州,5137,1.3821296476542728,71,10,14,13,34,59191.0,30069100.0,40.8,,26.86,26.86,26.86,115.0,16251.0
2014,泰州市,泰州,3916,2.042900919305413,80,11,12,23,34,72706.0,33708900.0,43.44,,27.75,27.75,27.75,566.0,
2015,泰州市,泰州,4064,1.673228346456693,68,4,5,18,41,79479.0,36879000.0,44.96,,29.15,29.15,29.15,566.0,1552.0
2016,泰州市,泰州,5177,1.6998261541433264,88,7,21,20,40,88330.0,41017800.0,47.0,,30.67,30.67,30.67,659.0,982.0
2017,泰州市,泰州,5661,1.4308426073131957,81,5,14,24,38,95176.0,47445300.0,,,36.55,36.55,36.55,1082.0,4269.0
2018,泰州市,泰州,4928,2.2118506493506493,109,8,17,39,45,109988.0,51076300.0,46.86,0.0,43.17373,43.17373,43.17373,921.0,1370.0
2019,泰州市,泰州,4944,1.7394822006472492,86,12,10,22,42,110731.0,51330000.0,45.1,0.0,48.57035,51.16673,51.16673,1020.0,1250.0
2020,泰州市,泰州,4936,1.600486223662885,79,7,7,16,49,117542.0,53130000.0,46.4,0.0,44.69089,49.18039,49.18039,1177.0,11589.0
2021,泰州市,泰州,5298,1.5477538693846735,82,8,11,23,40,133323.0,60250000.0,46.29,0.0,46.48715,50.04754,50.04754,1170.0,41132.0
2022,泰州市,泰州,4929,1.0752688172043012,53,3,16,13,21,141830.0,64020000.0,45.45,0.0,50.58455,52.95275,52.9528,905.0,55963.0
2023,泰州市,泰州,4103,1.1211308798440167,46,5,8,13,20,149383.0,67320000.0,46.47,0.0,54.95724,57.67372,57.67372,898.0,56506.0
2013,济南市,济南,4826,1.512639867384998,73,8,12,21,32,85321.0,52301948.0,55.3,,98.31,98.31,103.68,881.0,25625.0
2014,济南市,济南,5686,1.3014421385860009,74,7,17,23,27,82052.0,57705966.0,55.78,,93.39,93.39,93.39,960.0,31331.0
2015,济南市,济南,6000,1.5333333333333332,92,5,15,25,47,85919.0,61002320.0,57.18,52.83,84.45,137.28,137.28,1057.0,13354.0
2016,济南市,济南,6420,1.588785046728972,102,7,15,51,29,90999.0,65361165.0,58.9,74.77,92.55,167.32,167.32,1651.0,18303.0
2017,济南市,济南,6197,1.4684524770050025,91,8,9,33,41,98275.21,71516300.0,,89.38,89.08,178.46,178.46,1839.0,34267.0
2018,济南市,济南,6497,1.4160381714637524,92,10,12,30,40,106302.0,78565600.0,60.52,71.6339,104.2991,187.3925,187.3925,2059.0,55168.2
2019,济南市,济南,7570,0.8982826948480845,68,10,5,16,37,106416.0,94430000.0,61.79,87.8348,164.97385,269.54745,269.54745,2379.0,70625.0
2020,济南市,济南,7656,1.371473354231975,105,13,7,44,41,110199.0,101410000.0,61.61,47.0973,208.55364,268.51726,268.51726,2433.0,15000.0
2021,济南市,济南,7656,1.371473354231975,105,13,7,44,41,123075.0,114320000.0,61.75,13.2841,256.2934,287.6322,287.6322,3664.0,33000.0
2022,济南市,济南,7721,1.5023960626861803,116,15,31,37,33,128287.0,120270000.0,61.75,4.7937,247.8628,268.8387,268.8387,3734.0,50350.0
2023,济南市,济南,8156,1.5939185875429134,130,14,52,38,26,135347.0,127570000.0,62.83,0.0,256.55636,288.40767,288.40767,3752.0,60765.0
2013,海口市,海口,4889,1.5136019635917366,74,9,13,17,35,55499.0,9046355.0,69.59,12.62,48.9,61.52,61.52,298.0,3450.0
2014,海口市,海口,4928,1.6233766233766231,80,8,6,20,46,49943.0,10917021.0,74.85,24.68,47.39,72.07,72.07,364.0,3692.0
2015,海口市,海口,4810,1.30977130977131,63,5,4,21,33,52534.0,11619648.0,75.84,32.86,45.33,78.19,78.19,385.0,10403.0
2016,海口市,海口,6338,1.6724518775639,106,12,13,42,39,56315.0,12576653.0,76.35,12.99,81.52,94.51,94.51,3603.0,745.0
2017,海口市,海口,4871,2.094025867378362,102,3,12,52,35,61589.0,13905779.0,,18.06,88.64,106.7,106.7,4046.0,6405.0
2018,海口市,海口,4777,2.0305631149256853,97,6,14,44,33,66042.0,15105130.0,77.54,30.41722,82.7608,117.22463,117.22463,4046.0,15794.28
2019,海口市,海口,5691,1.5111579687225445,86,9,12,32,33,72218.0,16720000.0,79.23,35.5245,85.666,131.8635,131.8635,5473.0,294.79
2020,海口市,海口,7713,1.2835472578763127,99,14,8,28,49,63309.0,17920000.0,80.49,35.7828,85.06029,130.20639,130.20639,4297.0,11970.0
2021,海口市,海口,8251,1.6604047994182525,137,7,18,39,73,70999.0,20570000.0,79.0,0.0,128.60876,139.54058,139.5406,4125.0,30942.0
2022,海口市,海口,6806,1.6896855715545107,115,6,24,32,53,73139.0,21350000.0,76.32,0.0,130.067,140.5179,140.5179,4120.0,1048.0
2023,海口市,海口,6514,1.212772490021492,79,7,15,27,30,79390.0,23580000.0,77.26,0.0,174.2523,186.2497,186.2497,6815.0,750.0
2013,淄博市,淄博,5416,1.809453471196455,98,13,17,28,40,89441.0,38012400.0,39.25,,54.85,54.85,54.85,425.0,6119.0
2014,淄博市,淄博,5176,2.241112828438949,116,17,19,27,53,87531.0,40297668.0,40.75,,49.98,49.98,49.98,469.0,40514.0
2015,淄博市,淄博,4710,2.37791932059448,112,22,17,32,41,89235.0,41302400.0,42.53,,53.49,53.49,53.49,490.0,17296.0
2016,淄博市,淄博,5302,2.036967182195398,108,15,17,35,41,94587.0,44120100.0,44.1,,54.81,54.81,54.81,547.0,34236.0
2017,淄博市,淄博,4449,2.045403461452012,91,12,11,37,31,101569.0,47713600.0,,,87.65,90.13,90.13,671.0,45462.0
2018,淄博市,淄博,4828,1.8848384424192213,91,18,16,29,28,107720.0,50683500.0,45.04,0.0,88.7183,92.7004,92.7004,666.0,62946.0
2019,淄博市,淄博,5061,1.6004742145820985,81,17,8,22,34,77510.0,36420000.0,45.99,0.0,93.223,97.8896,97.8896,896.0,26843.55
2020,淄博市,淄博,5634,1.2779552715654952,72,9,11,30,22,78092.0,36730000.0,47.35,0.0,51.1789,54.2993,54.2993,915.0,16946.8
2021,淄博市,淄博,6614,1.7689749017236165,117,11,21,50,35,89238.0,42010000.0,46.35,0.0,57.3555,61.1846,61.1846,1033.0,40954.0
2022,淄博市,淄博,6147,1.610541727672035,99,10,24,35,30,93526.0,44030000.0,45.89,0.0,58.7717,62.494,62.49402,990.0,2608.0
2023,淄博市,淄博,4687,1.5788350757414125,74,4,30,22,18,97267.0,45620000.0,47.06,0.0,59.91409,64.56567,64.56567,971.0,1094.0
2013,淮安市,淮安,4357,1.1246270369520313,49,2,4,20,23,38985.0,21558600.0,41.75,24.58,7.4,31.98,40.31,212.0,2084.0
2014,淮安市,淮安,5565,1.473495058400719,82,5,14,24,39,50736.0,24553900.0,44.08,4.12,33.65,37.76,37.76,266.0,2325.0
2015,淮安市,淮安,5185,1.5236258437801349,79,7,14,20,38,56460.0,27450900.0,45.93,5.23,38.03,43.26,43.26,285.0,560.0
2016,淮安市,淮安,5514,1.5233949945593035,84,8,18,26,32,62446.0,30480000.0,47.74,17.17,37.64,54.81,54.81,336.0,340.0
2017,淮安市,淮安,5492,1.9664967225054624,108,7,20,34,47,68168.0,33288900.0,,14.95,44.52,59.47,59.47,318.0,5500.0
2018,淮安市,淮安,5634,2.538161164359247,143,16,28,49,50,73204.0,36012500.0,48.16,26.1452,42.2548,68.4,68.4,370.0,35000.0
2019,淮安市,淮安,5492,2.093954843408594,115,11,11,33,60,78543.0,38710000.0,48.25,34.135,38.5674,72.7024,72.7024,391.0,35000.0
2020,淮安市,淮安,6466,2.4126198577172904,156,22,14,41,79,87507.0,40250000.0,49.29,23.52474,49.28948,72.81422,72.81422,346.0,13960.0
2021,淮安市,淮安,8622,2.052887961029924,177,20,21,58,78,99768.0,45500000.0,49.19,9.00665,67.94264,76.94929,76.94929,406.0,516.0
2022,淮安市,淮安,6126,1.7140058765915769,105,8,22,27,48,104054.0,47420000.0,48.18,0.0,75.86257,75.86257,75.86257,442.0,7835.0
2023,淮安市,淮安,6022,1.9926934573231485,120,9,28,42,41,110329.0,50150000.0,50.43,0.0,77.8643,77.8643,77.8643,452.0,1420.0
2013,深圳市,深圳,5589,1.4850599391662194,83,13,23,14,33,124208.0668,145002302.0,56.54,257.78,255.34,513.12,521.69,1848.0,48217.0
2014,深圳市,深圳,6374,1.2864763100094132,82,19,21,19,23,149495.0,160018207.0,57.39,278.07,263.07,541.14,541.14,1325.0,17904.0
2015,深圳市,深圳,6317,1.3297451321829985,84,17,29,12,26,157985.0,175028634.0,58.78,306.17,268.66,574.83,574.83,1724.0,16290.0
2016,深圳市,深圳,7039,1.406449779798267,99,16,31,14,38,167411.0,194926012.0,60.05,323.82,248.46,572.28,572.28,2456.0,102.0
2017,深圳市,深圳,7002,1.3996001142530703,98,16,13,11,58,183544.0,224900600.0,,356.45,247.54,618.83,618.83,2825.0,1657.0
2018,深圳市,深圳,6706,1.4315538323889054,96,17,13,21,45,189568.0,242219771.0,58.78,418.653,253.08234,702.26552,702.27,3348.0,97.0
2019,深圳市,深圳,7842,1.4154552410099464,111,19,10,20,62,203489.0,269270000.0,60.93,269.21273,443.23441,760.1973,760.1973,3713.0,461540.79
2020,深圳市,深圳,6975,1.118279569892473,78,13,10,21,34,159309.0,276700000.0,62.13,43.77287,623.35981,715.55893,715.55893,4257.0,252026.0
2021,深圳市,深圳,6129,1.4031652798172622,86,18,32,12,24,173663.0,306650000.0,62.94,1.69566,692.83503,826.40872,826.40872,4203.0,2958.0
2022,深圳市,深圳,7374,1.125576349335503,83,18,24,23,18,183274.0,323880000.0,61.62,0.0,660.37611,845.88949,845.88949,5322.0,0.0
2023,深圳市,深圳,7859,1.0052169487212117,79,15,32,11,21,195230.0,346060000.0,62.32,0.0,684.66977,909.89772,909.89772,6020.0,79228.0
2013,温州市,温州,4567,1.8830742281585289,86,12,9,26,39,49614.0,40038617.0,46.78,,83.66,83.66,83.66,546.0,4403.0
2014,温州市,温州,5104,1.763322884012539,90,16,9,22,43,47118.0,43030460.0,50.09,,114.9,114.9,114.9,519.0,22433.0
2015,温州市,温州,5720,1.381118881118881,79,17,4,17,41,50790.0,46180766.0,53.4,,111.29,111.29,111.29,487.0,14982.0
2016,温州市,温州,5242,1.8885921404044257,99,15,6,31,47,55779.0,51015586.0,56.17,,118.44,118.43,118.43,588.0,35654.0
2017,温州市,温州,5733,1.5873015873015872,91,10,13,22,46,58854.0,54115700.0,,,143.7,143.7,143.7,609.0,12000.0
2018,温州市,温州,6006,1.814851814851815,109,18,11,32,48,65055.0,60061616.0,58.02,0.0,149.63854,149.63854,149.63854,886.0,1274.0
2019,温州市,温州,5878,1.4120449132357944,83,17,4,14,48,71225.0,66060000.0,55.14,0.0,154.87573,154.87573,154.87573,535.0,430.0
2020,温州市,温州,7227,1.14847101148471,83,15,4,17,47,71766.0,68710000.0,56.43,0.0,132.08176,139.46242,139.46242,631.0,758.0
2021,温州市,温州,7015,0.955096222380613,67,7,7,17,36,78879.0,75850000.0,55.75,0.0,131.59538,140.71349,140.71349,600.0,10460.0
2022,温州市,温州,6562,1.2496190185918927,82,4,22,22,34,83107.0,80300000.0,55.69,0.0,118.95303,127.23421,127.23421,626.0,1389.0
2023,温州市,温州,6475,1.22007722007722,79,3,28,19,29,89821.0,87310000.0,56.63,0.0,116.32553,124.99042,124.99042,657.0,0.0
2014,湖州市,湖州,4313,2.0635288662184093,89,23,10,17,39,66917.0,19559985.0,42.77,,41.1,41.1,41.1,175.0,2097.0
2015,湖州市,湖州,5399,1.6669753658084832,90,9,11,30,40,70894.0,20842666.0,44.87,,45.77,45.77,45.77,193.0,4070.0
2016,湖州市,湖州,5924,2.1775827143821744,129,16,25,47,41,77110.0,22843743.0,46.29,,54.39,54.39,54.39,201.0,2162.0
2017,湖州市,湖州,5667,2.135168519498853,121,11,23,45,42,82952.0,24761300.0,,,50.42,54.86,54.86,210.0,1438.0
2018,湖州市,湖州,5306,1.846965699208444,98,9,28,24,37,90304.0,27190675.0,48.46,1.127,47.5432,55.0531,55.0531,192.0,6619.0
2019,湖州市,湖州,5445,1.818181818181818,99,13,29,20,37,102593.0,31220000.0,44.63,0.0,49.1655,60.2719,60.2719,224.0,43641.86
2020,湖州市,湖州,6072,1.9762845849802373,120,9,37,30,44,95579.0,32010000.0,46.02,0.0,35.0636,44.9005,44.9005,251.0,28161.29
2021,湖州市,湖州,6536,1.9583843329253363,128,16,36,42,34,107534.0,36450000.0,44.75,0.0,31.9991,45.4338,45.4338,290.0,0.0
2022,湖州市,湖州,6338,1.846008204480909,117,11,48,36,22,112902.0,38500000.0,44.74,0.0,30.5608,44.826,44.826,220.0,1404.0
2023,湖州市,湖州,6081,1.7431343529024832,106,12,43,31,20,117195.0,40150000.0,46.76,0.0,29.1657,45.0915,45.0915,286.0,0.0
2013,滁州市,滁州,5314,0.9785472337222432,52,9,13,14,16,24190.0,10861431.0,27.84,12.04,,12.04,12.04,43.0,2481.0
2014,滁州市,滁州,5459,1.1174207730353545,61,6,8,19,28,30562.0,12144000.0,28.75,12.59,,12.59,12.59,55.0,19898.0
2015,滁州市,滁州,6595,1.5314632297194846,101,9,16,38,38,32634.0,13056964.0,29.81,12.57,,12.57,12.57,72.0,8780.0
2016,滁州市,滁州,5001,1.5596880623875224,78,13,14,28,23,35301.0,14228257.0,34.44,,14.74,14.74,14.74,118.0,3886.0
2017,滁州市,滁州,6025,1.112033195020747,67,8,15,19,25,39517.0,16043900.0,,,14.35,14.35,14.35,137.0,3435.0
2018,滁州市,滁州,7317,1.7220172201722015,126,17,27,46,36,43999.0,18017496.0,36.13,0.0,15.8227,15.8227,15.8227,229.0,2402.5
2019,滁州市,滁州,5637,1.507894270001774,85,11,11,24,39,70429.0,29090000.0,42.35,8.9401,10.7664,19.7065,19.7065,379.0,4112.46
2020,滁州市,滁州,5302,1.169370049038099,62,10,6,13,33,76087.0,30320000.0,42.28,0.0,21.527,21.527,21.5272,527.0,5428.0
2021,滁州市,滁州,5824,1.2877747252747251,75,10,17,18,30,84263.0,33620000.0,42.5,0.0,23.4559,23.4559,23.4559,602.0,12411.0
2022,滁州市,滁州,5472,1.8092105263157896,99,7,30,23,39,89800.0,36100000.0,41.56,0.0,24.4187,24.4187,24.4187,784.0,15920.0
2023,滁州市,滁州,5517,1.468189233278956,81,10,21,17,33,93325.0,37820000.0,42.95,0.0,25.9933,28.1036,28.1042,821.0,11051.0
2013,潍坊市,潍坊,7101,1.281509646528658,91,19,27,20,25,50065.0,44207000.0,38.23,43.94,,43.94,43.94,347.0,
2014,潍坊市,潍坊,4795,1.167883211678832,56,11,12,20,13,51826.0,47860000.0,39.66,39.56,,39.56,39.56,347.0,
2015,潍坊市,潍坊,5326,1.5396169733383402,82,15,14,18,35,55824.0,51705000.0,43.02,,47.43,47.43,47.43,397.0,32360.0
2016,潍坊市,潍坊,5390,1.020408163265306,55,2,22,13,18,59275.0,51706000.0,43.02,,55.42,55.42,55.42,407.0,650.0
2017,潍坊市,潍坊,4085,0.7099143206854345,29,2,10,6,11,62553.0,58549200.0,,11.1,51.09,62.19,62.19,584.0,
2018,潍坊市,潍坊,3566,1.4021312394840155,50,3,5,20,22,65721.0,61567800.0,47.15,2.05338,66.26967,68.32305,68.32305,689.0,502.1
2019,潍坊市,潍坊,7941,1.2718801158544264,101,18,15,20,48,60760.0,56890000.0,50.62,8.8447,67.12261,85.73458,85.73458,820.0,500.0
2020,潍坊市,潍坊,3791,0.606700079134793,23,4,3,5,11,62524.0,58720000.0,51.57,6.9615,68.17753,75.13903,75.13903,927.0,18631.0
2021,潍坊市,潍坊,5849,0.9745255599247734,57,8,14,12,23,74606.0,70110000.0,50.65,0.0,80.5846,80.5846,80.5846,1121.0,25756.0
2022,潍坊市,潍坊,10931,1.0794986734973926,118,13,39,31,35,77655.0,73060000.0,49.17,0.0,78.4219,78.4219,78.4219,1143.0,2920.0
2023,潍坊市,潍坊,4582,1.2003491924923615,55,5,12,19,19,80970.0,76060000.0,50.53,0.0,76.67678,86.64347,86.64347,892.0,0.0
2013,烟台市,烟台,4414,1.449932034435886,64,9,21,16,18,86235.0,56138700.0,37.72,52.76,,52.76,52.76,403.0,19000.0
2014,烟台市,烟台,3056,0.7853403141361256,24,4,4,7,9,85795.0,60020788.0,39.91,54.06,,54.06,54.06,413.0,3254.0
2015,烟台市,烟台,5230,1.3193116634799236,69,9,12,24,24,91979.0,64460800.0,41.6,119.9,,119.9,119.91,398.0,1050.0
2016,烟台市,烟台,4911,1.1606597434331094,57,10,5,26,16,98388.0,69256587.0,43.27,40.37,43.34,83.71,83.71,414.0,1263.0
2017,烟台市,烟台,5014,1.4359792580773834,72,9,11,24,28,103771.0,73435300.0,,31.74,48.1,82.09,82.09,572.0,2576.0
2018,烟台市,烟台,5239,1.5270089711777055,80,10,11,29,30,110231.0,78325800.0,44.41,14.5531,72.4937,90.7208,90.7208,600.0,100.0
2019,烟台市,烟台,5385,1.5413184772516249,83,7,11,36,29,107343.0,76530000.0,51.19,13.7526,75.8899,94.8897,94.8897,649.0,
2020,烟台市,烟台,5586,1.4321518080916578,80,11,12,27,30,110058.0,78160000.0,51.83,12.4917,86.793,103.4053,103.4053,857.0,53996.0
2021,烟台市,烟台,5428,1.400147383935151,76,9,19,16,32,122818.0,87120000.0,51.5,3.4293,109.4983,118.0602,118.0602,1272.0,1965.0
2022,烟台市,烟台,5969,1.6585692745853575,99,6,44,19,30,134581.0,95160000.0,50.77,0.0,108.114,113.6507,113.6507,1266.0,6500.0
2023,烟台市,烟台,6091,1.93728451814152,118,4,74,22,18,144241.0,101620000.0,51.05,0.0,111.37114,118.80967,118.80966,1339.0,3500.0
2013,玉林市,玉林,4692,1.7689684569479966,83,13,15,29,26,17096.0,11984584.0,35.71,16.34,,16.34,16.34,50.0,4405.0
2015,玉林市,玉林,4496,1.8016014234875448,81,13,13,24,31,25444.0,14461253.0,38.13,23.18,,23.18,23.18,65.0,6492.0
2016,玉林市,玉林,6463,1.4853783072876374,96,14,20,38,24,27111.0,15538300.0,39.3,28.89,,28.89,28.89,74.0,7733.0
2017,玉林市,玉林,5235,1.566380133715377,82,4,12,29,37,29387.0,16995423.0,,25.38,,25.38,25.38,186.0,7238.0
2018,玉林市,玉林,5761,1.961465023433432,113,8,24,38,43,27708.0,16154571.0,48.38,22.1555,0.0,22.1555,22.1555,174.0,23139.0
2019,玉林市,玉林,6084,2.186061801446417,133,18,18,32,65,28647.0,16800000.0,52.83,14.55821,3.82653,18.38474,18.38474,183.0,9643.39
2020,玉林市,玉林,6948,1.4248704663212437,99,11,14,25,49,30397.0,17610000.0,54.23,0.0,27.51303,27.51303,27.51303,183.0,325.0
2021,玉林市,玉林,5510,1.0526315789473684,58,6,16,19,17,35639.0,20710000.0,51.42,0.0,29.7253,29.7253,29.7253,190.0,15629.0
2022,玉林市,玉林,6550,1.6030534351145038,105,18,23,21,43,37245.0,21670000.0,51.27,0.0,33.9281,33.9281,33.9281,190.0,6892.0
2023,玉林市,玉林,7281,1.414640846037632,103,14,23,32,34,37682.0,21940000.0,53.44,0.0,33.3784,33.3784,33.3784,190.0,0.0
2013,珠海市,珠海,4958,1.9967728922952803,99,11,20,37,31,152512.0,16623757.0,46.33,47.8,18.83,66.63,66.62,345.0,3162.0
2014,珠海市,珠海,5247,1.4103297122165046,74,7,8,27,32,116537.0,18672129.0,47.37,58.87,21.29,80.16,80.16,407.0,484.0
2015,珠海市,珠海,7290,1.5226337448559673,111,8,17,40,46,124706.0,20254111.0,48.04,60.97,20.53,81.5,81.5,436.0,250.0
2016,珠海市,珠海,7085,1.2844036697247707,91,8,14,44,25,134546.0,22263708.0,49.54,42.8,27.65,87.58,87.58,601.0,9010.0
2017,珠海市,珠海,6109,1.080373219839581,66,6,8,25,27,155502.0,26751800.0,,26.95,66.19,93.14,93.14,668.0,16669.0
2018,珠海市,珠海,6074,1.481725386894962,90,15,8,36,31,159428.0,29147350.0,49.09,32.58408,66.00906,98.59314,98.59315,872.0,2359.14
2019,珠海市,珠海,7073,1.3855506857062068,98,16,14,20,48,175533.0,34360000.0,53.84,53.54121,64.75393,118.29514,118.29514,905.0,60093.0
2020,珠海市,珠海,4827,1.4916096954630205,72,8,3,15,46,145645.0,34820000.0,54.88,16.32763,91.81309,108.14072,108.14072,1008.0,3269.92
2021,珠海市,珠海,7295,1.0143934201507885,74,10,11,15,38,157914.0,38820000.0,56.65,0.0,115.41394,115.41394,115.41394,1425.0,30357.0
2022,珠海市,珠海,7173,1.0177052837027742,73,10,10,19,34,163654.0,40450000.0,53.81,0.0,108.26116,113.32649,113.32649,2021.0,57436.0
